,onset,duration,block_type,event_type,target_group,category,duration_str,orientation,task_relevance,stim_id,response_time,response,probe_order,congruency,online,participant_id
125,115.154,1.5,surprise,probe_duration,Face,face,long,left,target,TargetFace1Left.png,4.812,short,durationFirst,incongruent,True,Sub946271
126,107.5,0.5,surprise,probe_orientation,Face,face,short,right,target,TargetFace2Right.png,2.258,right,orientationFirst,congruent,True,Sub947092
127,114.201,0.5,surprise,probe_duration,Face,face,short,right,target,TargetFace2Right.png,4.889,short,orientationFirst,congruent,True,Sub947092
128,107.5,1.5,surprise,probe_orientation,Face,face,long,left,target,TargetFace2Left.png,3.385,left,orientationFirst,congruent,True,Sub947093
129,116.245,1.5,surprise,probe_duration,Face,face,long,left,target,TargetFace2Left.png,4.383,long,orientationFirst,congruent,True,Sub947093
130,107.5,1.5,surprise,probe_orientation,Object,object,long,left,target,TargetObject2Left.png,3.023,left,orientationFirst,congruent,True,Sub947285
131,114.228,1.5,surprise,probe_duration,Object,object,long,left,target,TargetObject2Left.png,4.933,short,orientationFirst,congruent,True,Sub947285
132,107.5,1.5,surprise,probe_orientation,Face,face,long,center,target,TargetFace1Center.png,2.519,center,durationFirst,congruent,True,Sub947402
133,113.368,1.5,surprise,probe_duration,Face,face,long,center,target,TargetFace1Center.png,4.276,long,durationFirst,congruent,True,Sub947402
134,107.5,1.5,surprise,probe_orientation,Face,face,long,left,target,TargetFace2Left.png,3.719,left,orientationFirst,congruent,True,Sub947508
135,117.127,1.5,surprise,probe_duration,Face,face,long,left,target,TargetFace2Left.png,6.211,short,orientationFirst,congruent,True,Sub947508
136,107.5,1.5,surprise,probe_orientation,Object,object,long,right,target,TargetObject1Right.png,14.858,center,durationFirst,congruent,True,Sub947844
137,125.747,1.5,surprise,probe_duration,Object,object,long,right,target,TargetObject1Right.png,6.4430000000000005,short,durationFirst,congruent,True,Sub947844
138,107.5,1.5,surprise,probe_orientation,Face,face,long,right,target,TargetFace1Right.png,6.227,right,durationFirst,congruent,True,Sub947966
139,123.414,1.5,surprise,probe_duration,Face,face,long,right,target,TargetFace1Right.png,8.348,short,durationFirst,congruent,True,Sub947966
140,107.5,1.5,surprise,probe_orientation,Face,face,long,right,target,TargetFace2Right.png,4.72,right,orientationFirst,incongruent,True,Sub948031
141,119.466,1.5,surprise,probe_duration,Face,face,long,right,target,TargetFace2Right.png,9.963,long,orientationFirst,incongruent,True,Sub948031
142,107.5,1.5,surprise,probe_orientation,Object,object,long,right,target,TargetObject2Right.png,5.925,right,orientationFirst,incongruent,True,Sub948043
143,123.767,1.5,surprise,probe_duration,Object,object,long,right,target,TargetObject2Right.png,7.901,short,orientationFirst,incongruent,True,Sub948043
